FBgn0000008	FBgn0114341	Dere\GG22167	EOG091902HN
FBgn0000014	FBgn0109040	Dere\GG16810	EOG09190E68
FBgn0000015	FBgn0109036	Dere\GG16806	EOG09190F6X
FBgn0000017	FBgn0108099	Dere\GG15861	EOG091901N5
FBgn0000018	FBgn0102648	Dere\GG10339	EOG091905OX
FBgn0000022	FBgn0028822	Dere\ac	EOG09190HGD
FBgn0000024	FBgn0109299	Dere\GG17071	EOG091903S4
FBgn0000028	FBgn0111609	Dere\GG19406	EOG09190B67
FBgn0000032	FBgn0104273	Dere\GG11981	EOG0919073D
FBgn0000036	FBgn0104632	Dere\GG12342	EOG091905G0
FBgn0000037	FBgn0112139	Dere\GG19939	EOG0919048X
FBgn0000038	FBgn0107481	Dere\GG15229	EOG091905XN
FBgn0000039	FBgn0103596	Dere\GG11295	EOG091905CP
FBgn0000052	FBgn0102454	Dere\GG10143	EOG0919012M
FBgn0000053	FBgn0277492	Dere\GG26187	EOG0919017N
FBgn0000055	FBgn0012261	Dere\Adh	EOG09190EAD
FBgn0000056	FBgn0012262	Dere\Adhr	EOG09190DA4
FBgn0000057	FBgn0114025	Dere\GG21847	EOG091903QN
FBgn0000061	FBgn0116845	Dere\GG24714	EOG09190BSX
FBgn0000063	FBgn0114599	Dere\GG22427	EOG0919051W
FBgn0000064	FBgn0104485	Dere\GG12193	EOG09190AKG
FBgn0000071	FBgn0105929	Dere\GG13665	EOG09190BE6
FBgn0000075	FBgn0046204	Dere\amd	EOG091906PN
FBgn0000077	FBgn0111193	Dere\GG18987	EOG09190E7H
FBgn0000083	FBgn0116453	Dere\GG24321	EOG09190BXN
FBgn0000084	FBgn0110225	Dere\GG18007	EOG09190BTV
FBgn0000092	FBgn0110826	Dere\GG18615	EOG09190E1B
FBgn0000097	FBgn0116686	Dere\GG24554	EOG091905CC
FBgn0000100	FBgn0108479	Dere\GG16244	EOG09190CXB
FBgn0000108	FBgn0105072	Dere\GG12794	EOG091903KP
FBgn0000109	FBgn0106806	Dere\GG14548	EOG09190HEI
FBgn0000114	FBgn0115915	Dere\GG23776	EOG091907LZ
FBgn0000115	FBgn0108175	Dere\GG15940	EOG09190GH6
FBgn0000116	FBgn0107294	Dere\GG15040	EOG091907J8
FBgn0000117	FBgn0104958	Dere\GG12670	EOG091902HS
FBgn0000119	FBgn0114660	Dere\GG22489	EOG091900D7
FBgn0000120	FBgn0113286	Dere\GG21103	EOG09190AIU
FBgn0000121	FBgn0107319	Dere\GG15065	EOG091909KO
FBgn0000137	FBgn0043711	Dere\ase	EOG091909TX
FBgn0000139	FBgn0103607	Dere\GG11306	EOG091904RZ
FBgn0000140	FBgn0103616	Dere\GG11315	EOG091900AB
FBgn0000146	FBgn0102645	Dere\GG10336	EOG091902GS
FBgn0000147	FBgn0110744	Dere\GG18531	EOG09190965
FBgn0000150	FBgn0104153	Dere\GG11858	EOG09190GPG
FBgn0000152	FBgn0110451	Dere\GG18235	EOG091904YN
FBgn0000153	FBgn0116024	Dere\GG23885	EOG0919051E
FBgn0000157	FBgn0115167	Dere\GG23010	EOG09190DP7
FBgn0000158	FBgn0086014	Dere\bam	EOG091909YQ
FBgn0000163	FBgn0111306	Dere\GG19100	EOG0919020L
FBgn0000166	FBgn0102523	Dere\GG10213	EOG09190CD2
FBgn0000173	FBgn0110040	Dere\GG17819	EOG09190HH0
FBgn0000179	FBgn0110916	Dere\GG18707	EOG0919081I
FBgn0000180	FBgn0102387	Dere\GG10075	EOG0919074R
FBgn0000181	FBgn0112532	Dere\GG20341	EOG09190I9P
FBgn0000182	FBgn0117312	Dere\GG25188	EOG091904JQ
FBgn0000183	FBgn0113922	Dere\GG21744	EOG091903IV
FBgn0000206	FBgn0084856	Dere\boss	EOG091903LT
FBgn0000212	FBgn0105781	Dere\GG13509	EOG091900U7
FBgn0000216	FBgn0107948	Dere\GG15704	EOG09190KHM
FBgn0000221	FBgn0110901	Dere\GG18691	EOG09190BPL
FBgn0000227	FBgn0116492	Dere\GG24360	EOG09190BDR
FBgn0000228	FBgn0116444	Dere\GG24312	EOG091902HU
FBgn0000229	FBgn0116103	Dere\GG23964	EOG091909O5
FBgn0000233	FBgn0110538	Dere\GG18322	EOG09190F5Z
FBgn0000239	FBgn0113694	Dere\GG21516	EOG091903B3
FBgn0000241	FBgn0112222	Dere\GG20023	EOG091903ZH
FBgn0000244	FBgn0109591	Dere\GG17364	EOG091905P7
FBgn0000247	FBgn0103994	Dere\GG11698	EOG091900DN
FBgn0000250	FBgn0116305	Dere\GG24172	EOG091907K1
FBgn0000251	FBgn0113432	Dere\GG21252	EOG09190DGI
FBgn0000253	FBgn0112456	Dere\GG20265	EOG09190HQF
FBgn0000256	FBgn0116529	Dere\GG24397	EOG091901CK
FBgn0000257	FBgn0111437	Dere\GG19231	EOG091906LZ
FBgn0000259	FBgn0110660	Dere\GG18445	EOG09190EJF
FBgn0000261	FBgn0105943	Dere\GG13679	EOG091905IK
FBgn0000273	FBgn0116155	Dere\GG24016	EOG091909ZG
FBgn0000274	FBgn0104211	Dere\GG11916	EOG091909YR
FBgn0000278	FBgn0104245	Dere\GG11950	EOG09190KX2
FBgn0000283	FBgn0112924	Dere\GG20737	EOG09190293
FBgn0000286	FBgn0116477	Dere\GG24345	EOG091907M5
FBgn0000287	FBgn0115861	Dere\GG23720	EOG091901QL
FBgn0000289	FBgn0112620	Dere\GG20430	EOG091902PF
FBgn0000299	FBgn0117171	Dere\GG25042	EOG091900J6
FBgn0000303	FBgn0115215	Dere\GG23058	EOG091903J8
FBgn0000307	FBgn0112323	Dere\GG20129	EOG091900RO
FBgn0000308	FBgn0116397	Dere\GG24265	EOG09190IFD
FBgn0000316	FBgn0043710	Dere\cin	EOG091904BR
FBgn0000317	FBgn0116358	Dere\GG24226	EOG09190067
FBgn0000318	FBgn0117205	Dere\GG25076	EOG09190I8P
FBgn0000319	FBgn0111573	Dere\GG19369	EOG091900DZ
FBgn0000320	FBgn0115754	Dere\GG23613	EOG091905V3
FBgn0000326	FBgn0112948	Dere\GG20762	EOG0919070Q
FBgn0000330	FBgn0109865	Dere\GG17643	EOG0919088G
FBgn0000337	FBgn0103017	Dere\GG10712	EOG091909EQ
FBgn0000339	FBgn0116306	Dere\GG24173	EOG09190I52
FBgn0000346	FBgn0109986	Dere\GG17764	EOG091902XK
FBgn0000351	FBgn0115739	Dere\GG23598	EOG0919062O
FBgn0000352	FBgn0103063	Dere\GG10758	EOG091901C2
FBgn0000355	FBgn0106604	Dere\GG14343	EOG09190KDU
FBgn0000356	FBgn0106606	Dere\GG14345	EOG09190JLX
FBgn0000358	FBgn0106605	Dere\GG14344	EOG09190I9X
FBgn0000359	FBgn0110472	Dere\GG18256	EOG09190EFE
FBgn0000360	FBgn0110473	Dere\GG18257	EOG09190JBV
FBgn0000370	FBgn0113476	Dere\GG21297	EOG09190C05
FBgn0000376	FBgn0110818	Dere\GG18607	EOG091905EQ
FBgn0000377	FBgn0104922	Dere\GG12634	EOG091903V3
FBgn0000382	FBgn0105181	Dere\GG12908	EOG091904PU
FBgn0000384	FBgn0113590	Dere\GG21411	EOG091909HG
FBgn0000392	FBgn0102737	Dere\GG10428	EOG091901T9
FBgn0000394	FBgn0110984	Dere\GG18776	EOG09190CQD
FBgn0000395	FBgn0112965	Dere\GG20779	EOG091902M2
FBgn0000404	FBgn0106144	Dere\GG13881	EOG091906FE
FBgn0000405	FBgn0112286	Dere\GG20092	EOG091905ZW
FBgn0000406	FBgn0112301	Dere\GG20107	EOG091907G5
FBgn0000411	FBgn0105996	Dere\GG13733	EOG09190EET
FBgn0000412	FBgn0109618	Dere\GG17392	EOG09190DRW
FBgn0000414	FBgn0105842	Dere\GG13572	EOG091900CX
FBgn0000416	FBgn0104199	Dere\GG11904	EOG091902A3
FBgn0000422	FBgn0113828	Dere\GG21650	EOG091905YV
FBgn0000426	FBgn0114770	Dere\GG22599	EOG09190K9C
FBgn0000427	FBgn0012271	Dere\dec-1	EOG091902QZ
FBgn0000439	FBgn0105940	Dere\GG13676	EOG09190A7K
FBgn0000442	FBgn0116762	Dere\GG24630	EOG091903CV
FBgn0000447	FBgn0109663	Dere\GG17437	EOG091909CG
FBgn0000448	FBgn0117349	Dere\GG25225	EOG091904YD
FBgn0000449	FBgn0107441	Dere\GG15188	EOG0919074C
FBgn0000451	FBgn0106243	Dere\GG13981	EOG09190DFV
FBgn0000454	FBgn0112042	Dere\GG19841	EOG09190745
FBgn0000455	FBgn0109357	Dere\GG17129	EOG0919065I
FBgn0000459	FBgn0111546	Dere\GG19342	EOG09190FHD
FBgn0000463	FBgn0108298	Dere\GG16063	EOG091902GI
FBgn0000464	FBgn0113383	Dere\GG21203	EOG0919006U
FBgn0000473	FBgn0103102	Dere\GG10797	EOG091905TB
FBgn0000477	FBgn0114764	Dere\GG22593	EOG091909ES
FBgn0000479	FBgn0110864	Dere\GG18654	EOG091903LP
FBgn0000482	FBgn0086020	Dere\dor	EOG091902FX
FBgn0000489	FBgn0105783	Dere\GG13511	EOG091907JW
FBgn0000490	FBgn0084880	Dere\dpp	EOG091906G3
FBgn0000492	FBgn0103966	Dere\GG11670	EOG09190DKC
FBgn0000499	FBgn0110623	Dere\GG18408	EOG091907MD
FBgn0000500	FBgn0104102	Dere\Dsk	EOG09190ICG
FBgn0000504	FBgn0116948	Dere\GG24818	EOG09190HIG
FBgn0000520	FBgn0110837	Dere\GG18627	EOG0919075P
FBgn0000524	FBgn0111795	Dere\GG19593	EOG091904XA
FBgn0000527	FBgn0107028	Dere\GG14772	EOG0919021W
FBgn0000529	FBgn0113786	Dere\GG21608	EOG09190GUL
FBgn0000533	FBgn0109141	Dere\GG16913	EOG091909CM
FBgn0000535	FBgn0110075	Dere\GG17855	EOG091901UC
FBgn0000536	FBgn0110166	Dere\GG17946	EOG091907FJ
FBgn0000541	FBgn0106931	Dere\GG14675	EOG0919009G
FBgn0000542	FBgn0110886	Dere\GG18676	EOG091900ZY
FBgn0000543	FBgn0106782	Dere\GG14523	EOG09190428
FBgn0000546	FBgn0103135	Dere\GG10830	EOG09190507
FBgn0000547	FBgn0117110	Dere\GG24981	EOG091900RH
FBgn0000551	FBgn0105517	Dere\GG13245	EOG09190IY1
FBgn0000552	FBgn0105875	Dere\GG13610	EOG09190IF7
FBgn0000557	FBgn0104121	Dere\GG11826	EOG091906VL
FBgn0000559	FBgn0113659	Dere\GG21480	EOG091902BZ
FBgn0000560	FBgn0108460	Dere\GG16225	EOG09190APN
FBgn0000562	FBgn0112202	Dere\GG20003	EOG0919021H
FBgn0000564	FBgn0109002	Dere\GG16772	EOG09190JZL
FBgn0000565	FBgn0108139	Dere\GG15904	EOG09190DCG
FBgn0000566	FBgn0114091	Dere\GG21913	EOG0919097F
FBgn0000567	FBgn0108039	Dere\GG15800	EOG091907WG
FBgn0000568	FBgn0108006	Dere\GG15765	EOG091902I9
FBgn0000575	FBgn0106990	Dere\GG14734	EOG09190HN6
FBgn0000576	FBgn0112074	Dere\GG19873	EOG09190DVB
FBgn0000577	FBgn0114815	Dere\GG22644	EOG09190CJ9
FBgn0000578	FBgn0114126	Dere\GG21948	EOG091906TV
FBgn0000579	FBgn0116711	Dere\GG24579	EOG091906OG
FBgn0000581	FBgn0112397	Dere\GG20206	EOG091900NN
FBgn0000588	FBgn0277906	Dere\GG26601	EOG0919097U
FBgn0000591	FBgn0085086	Dere\GG11459	EOG09190H0L
FBgn0000606	FBgn0024802	Dere\eve	EOG09190EWC
FBgn0000611	FBgn0110158	Dere\GG17938	EOG09190BIB
FBgn0000615	FBgn0113023	Dere\GG20837	EOG0919078J
FBgn0000617	FBgn0111339	Dere\GG19133	EOG09190ESM
FBgn0000618	FBgn0111056	Dere\GG18848	EOG09190JXR
FBgn0000625	FBgn0106094	Dere\GG13831	EOG09190987
FBgn0000629	FBgn0106230	Dere\GG13968	EOG091902Z7
FBgn0000633	FBgn0112586	Dere\GG20396	EOG0919032A
FBgn0000635	FBgn0110771	Dere\GG18558	EOG091902KL
FBgn0000636	FBgn0113298	Dere\GG21115	EOG0919068O
FBgn0000639	FBgn0105999	Dere\GG13736	EOG0919026P
FBgn0000640	FBgn0117468	Dere\GG25347	EOG09190F5R
FBgn0000644	FBgn0110803	Dere\GG18592	EOG09190GP1
FBgn0000658	FBgn0114037	Dere\GG21859	EOG091907HU
FBgn0000659	FBgn0104357	Dere\GG12065	EOG091909A1
FBgn0000662	FBgn0114640	Dere\GG22469	EOG09190B8F
FBgn0000667	FBgn0104949	Dere\GG12661	EOG091901RU
FBgn0000709	FBgn0111923	Dere\GG19722	EOG0919010E
FBgn0000711	FBgn0110572	Dere\GG18356	EOG091909DH
FBgn0000715	FBgn0116258	Dere\GG24119	EOG09190AF7
FBgn0000719	FBgn0109732	Dere\GG17507	EOG09190BQH
FBgn0000721	FBgn0116552	Dere\GG24420	EOG09190290
FBgn0000723	FBgn0109607	Dere\GG17381	EOG0919018J
FBgn0000808	FBgn0111022	Dere\GG18814	EOG0919066U
FBgn0000810	FBgn0105197	Dere\GG12924	EOG09190HNM
FBgn0000826	FBgn0104990	Dere\GG12703	EOG09190DTS
FBgn0000927	FBgn0110835	Dere\GG18625	EOG091905LM
FBgn0000928	FBgn0110834	Dere\GG18624	EOG091901RT
FBgn0000964	FBgn0113365	Dere\GG21184	EOG09190DZZ
FBgn0000996	FBgn0114527	Dere\GG22355	EOG0919043Y
FBgn0001075	FBgn0116522	Dere\GG24390	EOG0919000C
FBgn0001077	FBgn0064605	Dere\ftz	EOG09190CCT
FBgn0001078	FBgn0107968	Dere\GG15724	EOG0919045V
FBgn0001079	FBgn0111384	Dere\GG19178	EOG0919036B
FBgn0001083	FBgn0111771	Dere\GG19569	EOG091900XE
FBgn0001084	FBgn0115589	Dere\GG23442	EOG09190ALI
FBgn0001085	FBgn0107926	Dere\GG15682	EOG0919043M
FBgn0001086	FBgn0117327	Dere\GG25203	EOG091906OF
FBgn0001087	FBgn0084330	Dere\g	EOG091902VD
FBgn0001089	FBgn0116395	Dere\GG24263	EOG091904DC
FBgn0001090	FBgn0110308	Dere\GG18091	EOG09190EU9
FBgn0001098	FBgn0104676	Dere\GG12388	EOG091904US
FBgn0001099	FBgn0108138	Dere\GG15903	EOG09190G1M
FBgn0001104	FBgn0107265	Dere\GG15011	EOG09190AAD
FBgn0001105	FBgn0110143	Dere\GG17923	EOG09190ABJ
FBgn0001108	FBgn0107901	Dere\GG15657	EOG091901HP
FBgn0001112	FBgn0013802	Dere\Gld	EOG09190498
FBgn0001114	FBgn0117419	Dere\GG25298	EOG091906JV
FBgn0001120	FBgn0105967	Dere\GG13704	EOG09190ETS
FBgn0001122	FBgn0116302	Dere\GG24169	EOG09190A4T
FBgn0001123	FBgn0115063	Dere\GG22906	EOG091909KZ
FBgn0001124	FBgn0112762	Dere\GG20572	EOG091909JD
FBgn0001125	FBgn0116695	Dere\GG24563	EOG091907TU
FBgn0001128	FBgn0084054	Dere\Gpdh	EOG09190AR3
FBgn0001133	FBgn0112999	Dere\GG20813	EOG091904XK
FBgn0001134	FBgn0105898	Dere\GG13634	EOG0919055F
FBgn0001137	FBgn0115586	Dere\GG23439	EOG09190HNW
FBgn0001139	FBgn0103758	Dere\GG11460	EOG091903NX
FBgn0001142	FBgn0116829	Dere\GG24698	EOG091908J2
FBgn0001145	FBgn0110631	Dere\GG18416	EOG09190918
FBgn0001147	FBgn0112065	Dere\GG19864	EOG091909ZY
FBgn0001148	FBgn0115188	Dere\GG23031	EOG09190B89
FBgn0001149	FBgn0012266	Dere\GstD1	EOG09190F2W
FBgn0001150	FBgn0104902	Dere\GG12614	EOG09190FDJ
FBgn0001168	FBgn0106599	Dere\GG14338	EOG09190FO3
FBgn0001169	FBgn0116172	Dere\GG24033	EOG091906C5
FBgn0001170	FBgn0102462	Dere\GG10151	EOG09190DDJ
FBgn0001174	FBgn0116720	Dere\GG24588	EOG09190JH2
FBgn0001179	FBgn0107691	Dere\GG15440	EOG091902X7
FBgn0001180	FBgn0109658	Dere\GG17432	EOG091905UB
FBgn0001185	FBgn0114922	Dere\GG22757	EOG0919049Z
FBgn0001186	FBgn0110533	Dere\GG18317	EOG09190717
FBgn0001187	FBgn0114539	Dere\GG22367	EOG0919091T
FBgn0001189	FBgn0105147	Dere\GG12873	EOG091905NL
FBgn0001197	FBgn0103804	Dere\GG11506	EOG09190J0I
FBgn0001202	FBgn0113839	Dere\GG21661	EOG091904D9
FBgn0001206	FBgn0069876	Dere\Hmr	EOG091901AO
FBgn0001208	FBgn0106709	Dere\GG14450	EOG0919070D
FBgn0001215	FBgn0103900	Dere\GG11603	EOG09190E5G
FBgn0001216	FBgn0107904	Dere\GG15660	EOG091904NJ
FBgn0001217	FBgn0111615	Dere\GG19412	EOG091904E8
FBgn0001218	FBgn0111040	Dere\GG18832	EOG091904CP
FBgn0001220	FBgn0114605	Dere\GG22433	EOG0919045L
FBgn0001222	FBgn0113176	Dere\GG20992	EOG091903TJ
