FBgn0000008	FBgn0231782	Dyak\GE14160	EOG091902HN
FBgn0000014	FBgn0243166	Dyak\GE26127	EOG09190E68
FBgn0000015	FBgn0243162	Dyak\GE26123	EOG09190F6X
FBgn0000017	FBgn0239427	Dyak\GE22200	EOG091901N5
FBgn0000018	FBgn0230830	Dyak\GE13132	EOG091905OX
FBgn0000022	FBgn0022828	Dyak\ac	EOG09190HGD
FBgn0000024	FBgn0241576	Dyak\GE24460	EOG091903S4
FBgn0000028	FBgn0233604	Dyak\GE16054	EOG09190B67
FBgn0000032	FBgn0228271	Dyak\GE10406	EOG0919073D
FBgn0000036	FBgn0228637	Dyak\GE10796	EOG091905G0
FBgn0000037	FBgn0229272	Dyak\GE11467	EOG0919048X
FBgn0000038	FBgn0238706	Dyak\GE21448	EOG091905XN
FBgn0000039	FBgn0240670	Dyak\GE23490	EOG091905CP
FBgn0000052	FBgn0236323	Dyak\GE18953	EOG0919012M
FBgn0000053	FBgn0235802	Dyak\GE18382	EOG0919017N
FBgn0000056	FBgn0013164	Dyak\Adhr	EOG09190DA4
FBgn0000057	FBgn0229708	Dyak\GE11926	EOG091903QN
FBgn0000061	FBgn0234262	Dyak\GE16769	EOG09190BSX
FBgn0000063	FBgn0242558	Dyak\GE25491	EOG0919051W
FBgn0000064	FBgn0228487	Dyak\GE10635	EOG09190AKG
FBgn0000071	FBgn0241979	Dyak\GE24882	EOG09190BE6
FBgn0000075	FBgn0230925	Dyak\GE13232	EOG091906PN
FBgn0000077	FBgn0233036	Dyak\GE15460	EOG09190E7H
FBgn0000084	FBgn0232944	Dyak\GE15364	EOG09190BTV
FBgn0000092	FBgn0013174	Dyak\GE16930	EOG09190E1B
FBgn0000094	FBgn0046894	Dyak\Anp	EOG09190L1J
FBgn0000097	FBgn0232811	Dyak\GE15223	EOG091905CC
FBgn0000108	FBgn0234121	Dyak\GE16620	EOG091903KP
FBgn0000109	FBgn0238192	Dyak\GE20903	EOG09190HEI
FBgn0000114	FBgn0235987	Dyak\GE18580	EOG091907LZ
FBgn0000115	FBgn0240083	Dyak\GE22880	EOG09190GH6
FBgn0000116	FBgn0238532	Dyak\GE21263	EOG091907J8
FBgn0000117	FBgn0234484	Dyak\GE16998	EOG091902HS
FBgn0000119	FBgn0231039	Dyak\GE13360	EOG091900D7
FBgn0000120	FBgn0068531	Dyak\Arr1	EOG09190AIU
FBgn0000121	FBgn0238556	Dyak\GE21289	EOG091909KO
FBgn0000137	FBgn0022827	Dyak\ase	EOG091909TX
FBgn0000139	FBgn0240682	Dyak\GE23503	EOG091904RZ
FBgn0000140	FBgn0240690	Dyak\GE23511	EOG091900AB
FBgn0000146	FBgn0230801	Dyak\GE13099	EOG091902GS
FBgn0000147	FBgn0243187	Dyak\GE26150	EOG09190965
FBgn0000150	FBgn0067997	Dyak\awd	EOG09190GPG
FBgn0000152	FBgn0233223	Dyak\GE15653	EOG091904YN
FBgn0000153	FBgn0236086	Dyak\GE18686	EOG0919051E
FBgn0000157	FBgn0232053	Dyak\GE14447	EOG09190DP7
FBgn0000158	FBgn0086004	Dyak\bam	EOG091909YQ
FBgn0000163	FBgn0235097	Dyak\GE17646	EOG0919020L
FBgn0000166	FBgn0242878	Dyak\GE25828	EOG09190CD2
FBgn0000173	FBgn0234595	Dyak\GE17114	EOG09190HH0
FBgn0000179	FBgn0233875	Dyak\GE16345	EOG0919081I
FBgn0000180	FBgn0236266	Dyak\GE18888	EOG0919074R
FBgn0000181	FBgn0067995	Dyak\bic	EOG09190I9P
FBgn0000182	FBgn0238566	Dyak\GE21299	EOG091904JQ
FBgn0000183	FBgn0230831	Dyak\GE13133	EOG091903IV
FBgn0000206	FBgn0020664	Dyak\boss	EOG091903LT
FBgn0000212	FBgn0240329	Dyak\GE23128	EOG091900U7
FBgn0000216	FBgn0239268	Dyak\GE22036	EOG09190KHM
FBgn0000221	FBgn0233862	Dyak\GE16330	EOG09190BPL
FBgn0000227	FBgn0232291	Dyak\GE14697	EOG09190BDR
FBgn0000228	FBgn0236373	Dyak\GE19006	EOG091902HU
FBgn0000229	FBgn0243305	Dyak\GE26274	EOG091909O5
FBgn0000233	FBgn0235248	Dyak\GE17806	EOG09190F5Z
FBgn0000239	FBgn0230703	Dyak\GE12995	EOG091903B3
FBgn0000241	FBgn0229360	Dyak\GE11560	EOG091903ZH
FBgn0000244	FBgn0241872	Dyak\GE24769	EOG091905P7
FBgn0000246	FBgn0243389	Dyak\GE26360	EOG0919042J
FBgn0000247	FBgn0241037	Dyak\GE23888	EOG091900DN
FBgn0000250	FBgn0067432	Dyak\cact	EOG091907K1
FBgn0000251	FBgn0230096	Dyak\GE12346	EOG09190DGI
FBgn0000253	FBgn0068179	Dyak\Cam	EOG09190HQF
FBgn0000256	FBgn0232377	Dyak\GE14785	EOG091901CK
FBgn0000257	FBgn0233412	Dyak\GE15849	EOG091906LZ
FBgn0000259	FBgn0233237	Dyak\GE15667	EOG09190EJF
FBgn0000261	FBgn0237302	Dyak\GE19975	EOG091905IK
FBgn0000273	FBgn0068096	Dyak\Pka-C1	EOG091909ZG
FBgn0000274	FBgn0240558	Dyak\GE23365	EOG091909YR
FBgn0000278	FBgn0240590	Dyak\GE23398	EOG09190KX2
FBgn0000283	FBgn0041646	Dyak\Cen190	EOG09190293
FBgn0000286	FBgn0232250	Dyak\GE14655	EOG091907M5
FBgn0000287	FBgn0235935	Dyak\GE18524	EOG091901QL
FBgn0000289	FBgn0231224	Dyak\GE13562	EOG091902PF
FBgn0000299	FBgn0229117	Dyak\GE11300	EOG091900J6
FBgn0000303	FBgn0242621	Dyak\GE25557	EOG091903J8
FBgn0000307	FBgn0230539	Dyak\GE12819	EOG091900RO
FBgn0000308	FBgn0236333	Dyak\GE18963	EOG09190IFD
FBgn0000316	FBgn0043603	Dyak\cin	EOG091904BR
FBgn0000317	FBgn0236761	Dyak\GE19418	EOG09190067
FBgn0000318	FBgn0067992	Dyak\cl	EOG09190I8P
FBgn0000319	FBgn0233568	Dyak\GE16016	EOG091900DZ
FBgn0000320	FBgn0235850	Dyak\GE18433	EOG091905V3
FBgn0000326	FBgn0231349	Dyak\GE13694	EOG0919070Q
FBgn0000330	FBgn0235008	Dyak\GE17549	EOG0919088G
FBgn0000337	FBgn0240811	Dyak\GE23640	EOG091909EQ
FBgn0000339	FBgn0236712	Dyak\GE19367	EOG09190I52
FBgn0000346	FBgn0234538	Dyak\GE17054	EOG091902XK
FBgn0000351	FBgn0235835	Dyak\GE18417	EOG0919062O
FBgn0000352	FBgn0241241	Dyak\GE24103	EOG091901C2
FBgn0000355	FBgn0238073	Dyak\GE20773	EOG09190KDU
FBgn0000356	FBgn0068176	Dyak\Cp16	EOG09190JLX
FBgn0000358	FBgn0238074	Dyak\GE20774	EOG09190I9X
FBgn0000359	FBgn0233351	Dyak\GE15786	EOG09190EFE
FBgn0000360	FBgn0233352	Dyak\GE15787	EOG09190JBV
FBgn0000370	FBgn0230627	Dyak\GE12912	EOG09190C05
FBgn0000376	FBgn0234411	Dyak\GE16922	EOG091905EQ
FBgn0000377	FBgn0234450	Dyak\GE16963	EOG091903V3
FBgn0000382	FBgn0233776	Dyak\GE16236	EOG091904PU
FBgn0000384	FBgn0067990	Dyak\cta	EOG091909HG
FBgn0000392	FBgn0231681	Dyak\GE14055	EOG091901T9
FBgn0000394	FBgn0233945	Dyak\GE16419	EOG09190CQD
FBgn0000395	FBgn0231371	Dyak\GE13717	EOG091902M2
FBgn0000404	FBgn0237495	Dyak\GE20173	EOG091906FE
FBgn0000405	FBgn0229622	Dyak\GE11834	EOG091905ZW
FBgn0000406	FBgn0230858	Dyak\GE13163	EOG091907G5
FBgn0000411	FBgn0237352	Dyak\GE20027	EOG09190EET
FBgn0000412	FBgn0241897	Dyak\GE24795	EOG09190DRW
FBgn0000414	FBgn0237199	Dyak\GE19869	EOG091900CX
FBgn0000416	FBgn0240545	Dyak\GE23352	EOG091902A3
FBgn0000422	FBgn0230397	Dyak\GE12670	EOG091905YV
FBgn0000426	FBgn0231137	Dyak\GE13467	EOG09190K9C
FBgn0000439	FBgn0241980	Dyak\GE24883	EOG09190A7K
